portuguese,english
im sorry for interrupting,sinto interromper
i have a lot to do today,tenho muito o que fazer hoje
ill go by taxi,pegarei um taxi
lets pay tom a visit,vamos visitar tom
tom has a crush on you,tom tem uma queda por voce
we need to fix this,precisamos consertar isto
theyre cool,elas sao legais
tom is playing,tom esta jogando
what did you eat for lunch,que e que voces comeram no almoco
few people speak my language,poucas pessoas falam o meu idioma
are you coming,tu vens
give me the ball,passa a bola para mim
toms phone vibrated,o celular de tom esta vibrando
i broke the vase on purpose,eu quebrei o vaso de proposito
give tom a call,ligue para o tom
lets try to clear up this misunderstanding,vamos tentar esclarecer este malentendido
i didnt want to throw that out,eu nao queria jogar isso fora
he promised to marry her,ele prometeu casarse com ela
tom is a basket case,tom e um caso perdido
its very complicated,e muito complicado
tom deciphered the code,tom decifrou o codigo
im the luckiest guy in the world,eu sou o homem mais feliz do mundo
he does not have any relatives at all,ele nao tem nenhum parente
you said that it was important,voces disseram que era importante
toms chauffeur opened the limousines door for mary,o motorista de tom abriu a porta da limusine para maria
do you know tom and mary,voce conhece tom e maria
tom is likely going to be furious,o tom provavelmente ficara furioso
this is reality,esta e a realidade
it doesnt make any sense,nao faz o menor sentido
ive forgotten your number,esqueci o seu numero
do i need a shot,eu preciso tomar uma injecao
what are we waiting for,o que estamos esperando
tom doesnt believe that,tom nao acredita nisso
its a waste of time,e perda de tempo
im cleaning my room,estou limpando o meu quarto
my cholesterol levels are high,meus niveis de colesterol estao altos
someday ill have all this,um dia eu possuirei tudo isso
tom is a thirdyear student,tom e um estudante do terceiro ano
she will return within an hour,ela voltara daqui a uma hora
drink up your milk,tome o seu leite
tom didnt have anyone to play with,tom nao tinha ninguem com quem jogar
where do you think you are,onde voce acha que esta
he likes science fiction,ele gosta de ficcao cientifica
tom doesnt like kids,tom nao gosta de criancas
thanks a lot,muito obrigado
i will accompany you,acompanhaloei
i dont believe it any longer,eu nao acredito mais
our teacher speaks french as well as english,nosso professor fala frances tao bem quanto ingles
how did you get to know mary,como voce conheceu a mary
i know you understand,eu sei que voce entende
you have to disappear,voce deve desaparecer
give it up tom,desista tom
my hobby is listening to music,meu hobby e ouvir musica
tom opened another beer,tom abriu outra cerveja
i lost my camera,eu perdi a minha camera
when did i write this article,quando eu escrevi esse artigo
she called up her mother on the phone,ela telefonou para a mae dela
will you be at tom and marys wedding,voce estara no casamento de tom e maria
tom is a thug,tom e um bandido
i havent downloaded the files yet,eu ainda nao baixei os arquivos
tom wasnt wearing a helmet,tom nao estava usando capacete
are you proud of your father,voces estao orgulhosas de seu pai
my fingers are crossed,meus dedos estao cruzados
someone mustve drugged tom,alguem deve ter drogado tom
i need more help,eu preciso de mais ajuda
what do you do here tom,o que voce faz aqui tom
where is the cat,onde esta o gato
theres a math test tomorrow,amanha tem prova de matematica
do you still play the guitar,voce ainda toca guitarra
the revolution ushered in a new era,a revolucao deu inicio a uma nova era
these are yours,estas sao tuas
you dont like spinach do you,voce nao gosta de espinafre nao e
tom is also in love with mary,tom tambem esta apaixonado pela mary
tom doesnt use sunscreen,tom nao usa protetor solar
i want to stretch my legs,eu quero esticar as pernas
tom doesnt want to go to boston with me,tom nao quer ir para boston comigo
as far as i know tom isnt married yet,pelo que eu sei tom ainda nao e casado
for better or for worse television has changed the world,para melhor ou para pior a televisao mudou o mundo
im just getting started,so estou comecando
i dont go to the movies as often as i used to,eu ja nao vou ao cinema tao frequentemente como costumava ir
they want tom,eles querem o tom
i slammed the door,eu bati a porta
i dont know if this is true,eu nao sei se isso e verdade
tom suffers from posttraumatic stress disorder and is plagued by nightmares,tom tem transtorno de estresse postraumatico e e frequentemente acometido por pesadelos
i know tom is nervous,eu sei que o tom esta nervoso
whatre you drinking,o que voces estao bebendo
why are you calling me,por que voce esta me chamando
we didnt get far,nos nao chegamos longe
that is mine i dont know where yours is,essa e a minha eu nao sei onde esta a sua
i want to invite them to participate,quero convidalos a participar
you folks dont understand,voces nao entendem
weve run out of gasoline,nos ficamos sem gasolina
it doesnt matter what she said,nao importa o que ela disse
i have a green car,eu tenho um carro verde
he didnt reply to my letter,ele nao respondeu a minha carta
i wish i could,quem dera que eu pudesse
toms phone was confiscated by the teacher,tom teve seu telefone confiscado pelo professor
lets quickly finish the remaining work and go out for some drinks,vamos terminar rapidamente o trabalho que resta e sair para beber
whats wrong with telling tom what happened,o que ha de errado em dizer a tom o que aconteceu
i became a director,eu me tornei diretor
who said it was going to be easy,quem disse que seria facil
i dropped my sandwich,eu derrubei o meu lanche
can you start tomorrow,voces podem comecar amanha
i shouldnt have married mary,eu nao deveria ter me casado com maria
i want you to know that i cant be there tomorrow,quero que voces saibam que nao vou poder estar la amanha
youve got to hurry,voces tem que se apressar
tom took these pictures yesterday,tom tirou essas fotos ontem
thats a strategy they use,essa e uma estrategia que eles usam
tom is selfemployed,tom trabalha por conta propria
tom agreed to this,tom concordava com isso
tom died in a plane crash,o tom morreu em um acidente de aviao
i dont read much,eu nao leio muito
dont touch me with your soapy hands,nao me toque com essas suas maos ensaboadas
tom is starting to settle down,o tom esta comecando a se acalmar
that sounds fun,achei isso engracado
shuttles will be available,transportes estarao disponiveis
tom always encouraged me,tom sempre me encorajou
get out while you can,saia enquanto pode
my sister sang an english song at the party,minha irma cantou uma musica inglesa na festa
everybody agrees,todos concordam
have you forgotten everything weve done for you,voce esqueceu tudo o que fizemos por voce
i bought a red car,eu comprei um carro vermelho
i ate a banana,comi uma banana
have you fed the dog yet,voce ja deu comida para o cachorro
are you certain tom can do that,voce tem certeza de que tom pode fazer isso
i didnt recognize toms car,eu nao reconheci o carro do tom
i want to visit boston sometime,eu quero visitar boston algum dia
i dont love her,eu nao a amo
he interrupted the speaker with frequent questions,ele interrompia o palestrante com perguntas frequentes
i went to work by car,eu fui ao trabalho de carro
tom doesnt know how much time hell need,o tom nao sabe quanto tempo ele vai precisar
we have a theory,temos uma teoria
i hope not,espero que nao
i am off today,estou de folga hoje
we saw a mountain in the distance,nos vimos a montanha a distancia
try as hard as you can,tente fazelo dando o melhor de si
i helped tom get out of the pool,ajudei o tom a sair da piscina
tom liked australia,tom gostou da australia
the eagle had to be fed by hand,a aguia teve de ser alimentada a mao
i used to drive a truck,eu costumava dirigir um caminhao
i have a daughter too,eu tambem tenho uma filha
my grandfather died three years ago,o meu avo morreu ha tres anos
whatve you been doing recently,que e que andou aprontando recentemente
everyone believed you,todos acreditaram em voce
tom has done us a favor,tom nos fez um favor
can you recommend a good camera please,voce pode recomendar uma camera boa por favor
oslo is the capital of norway,oslo e a capital da noruega
